单词		词频		占比
constitution		30		0.02490515287613007%
augmentation		30		0.02490515287613007%
appuyer		30		0.02490515287613007%
pied		30		0.02490515287613007%
rendre		30		0.02490515287613007%
l		30		0.02490515287613007%
enrichir		30		0.02490515287613007%
chapitre		30		0.02490515287613007%
presse		30		0.02490515287613007%
ethnie		30		0.02490515287613007%
patrie		30		0.02490515287613007%
continental		30		0.02490515287613007%
beau		30		0.02490515287613007%
considérablement		30		0.02490515287613007%
moral		30		0.02490515287613007%
heureux		30		0.02490515287613007%
Shanghai		30		0.02490515287613007%
décider		30		0.02490515287613007%
nom		29		0.024074981113592405%
supplémentaire		29		0.024074981113592405%
baisser		29		0.024074981113592405%
autant		29		0.024074981113592405%
achat		29		0.024074981113592405%
traiter		29		0.024074981113592405%
série		29		0.024074981113592405%
sauvegarder		29		0.024074981113592405%
intellectuel		29		0.024074981113592405%
potentiel		29		0.024074981113592405%
crucial		29		0.024074981113592405%
paiement		29		0.024074981113592405%
correspondre		29		0.024074981113592405%
concurrence		29		0.024074981113592405%
intégrité		29		0.024074981113592405%
paysan		29		0.024074981113592405%
juridique		29		0.024074981113592405%
volume		29		0.024074981113592405%
hôpital		29		0.024074981113592405%
contradiction		29		0.024074981113592405%
rive		29		0.024074981113592405%
constituer		29		0.024074981113592405%
menace		29		0.024074981113592405%
diversité		29		0.024074981113592405%
province		29		0.024074981113592405%
climat		29		0.024074981113592405%
envoyer		29		0.024074981113592405%
Union		29		0.024074981113592405%
il		29		0.024074981113592405%
-ce		29		0.024074981113592405%
attention		28		0.023244809351054732%
baisse		28		0.023244809351054732%
inférieur		28		0.023244809351054732%
étape		28		0.023244809351054732%
thème		28		0.023244809351054732%
événement		28		0.023244809351054732%
approfondissement		28		0.023244809351054732%
tirer		28		0.023244809351054732%
atout		28		0.023244809351054732%
approche		28		0.023244809351054732%
concentrer		28		0.023244809351054732%
somme		28		0.023244809351054732%
monétaire		28		0.023244809351054732%
équilibré		28		0.023244809351054732%
élimination		28		0.023244809351054732%
effectif		28		0.023244809351054732%
terrain		28		0.023244809351054732%
immense		28		0.023244809351054732%
hiver		28		0.023244809351054732%
opinion		28		0.023244809351054732%
